,UNITID_P,INSTNM,City,State,men_total15,women_total15,FORCIB13,NONFOR13,RAPE14,RAPE15,FONDL14,FONDL15,STATR14,STATR15,men_total14,women_total14,FORCIB12,NONFOR12,men_total13,women_total13,FORCIB11,NONFOR11,men_total12,women_total12,FORCIB10,NONFOR10,men_total11,women_total11,FORCIB9,NONFOR9,men_total10,women_total10,FORCIB8,NONFOR8,men_total9,women_total9,FORCIB7,NONFOR7,men_total8,women_total8,FORCIB6,NONFOR6,men_total7,women_total7,FORCIB5,NONFOR5,TITLE9
0,100654001.0,Alabama A & M University,NORMAL,AL,2409.0,3219.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2379.0,2954.0,2.0,0.0,2268.0,2752.0,2.0,0.0,2224.0,2629.0,4.0,0.0,2218.0,2704.0,5.0,2.0,2644.0,3170.0,1.0,0.0,2413.0,2914.0,0.0,0.0,2233.0,2891.0,1.0,0.0,2505.0,3201.0,4.0,0.0,
1,100663001.0,University of Alabama at Birmingham,BIRMINGHAM,AL,7185.0,11148.0,1.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,7410.0,11288.0,0.0,0.0,7309.0,11259.0,0.0,0.0,7163.0,10836.0,0.0,0.0,6979.0,10596.0,0.0,0.0,6981.0,10562.0,0.0,0.0,6814.0,10060.0,0.0,0.0,6431.0,9718.0,1.0,0.0,6480.0,9766.0,0.0,0.0,1.0
10,100760003.0,Central Alabama Community College,Talladega,AL,796.0,991.0,,,,,,,,,701.0,1025.0,,,738.0,1168.0,,,668.0,1353.0,,,856.0,1595.0,0.0,0.0,1270.0,2351.0,1.0,0.0,12590.0,12012.0,1.0,0.0,12525.0,12005.0,0.0,0.0,12256.0,11881.0,0.0,0.0,
100,102368007.0,Troy University,Columbus,GA,6743.0,11022.0,,,,,,,,,7093.0,11948.0,,,3892.0,5274.0,,,3879.0,5344.0,,,4042.0,5670.0,0.0,0.0,1190.0,2268.0,0.0,0.0,251.0,530.0,0.0,0.0,264.0,539.0,0.0,0.0,1018.0,1934.0,0.0,0.0,
1000,125718001.0,Westminster Theological Seminary in California,ESCONDIDO,CA,127.0,11.0,0.0,0.0,,,,,,,8864.0,10136.0,0.0,0.0,1838.0,3530.0,0.0,0.0,617.0,34.0,,,8785.0,11783.0,,,6408.0,8891.0,,,161.0,568.0,,,457.0,61.0,,,,,,,
10000,453817001.0,Ohio Technical College-PowerSport Institute,North Randall,OH,214.0,11.0,,,,,,,,,1092.0,1677.0,,,3.0,54.0,,,37.0,118.0,,,331.0,535.0,,,172.0,358.0,,,,,,,,,,,,,,,
10001,454184001.0,The King’s College,New York,NY,196.0,317.0,,,,0.0,,0.0,,0.0,1092.0,1677.0,,,12248.0,7937.0,,,5.0,118.0,,,331.0,535.0,,,114.0,190.0,,,,,,,,,,,,,,,
10002,454227001.0,Chamberlain College of Nursing-Illinois,Addison,IL,2251.0,20999.0,,,,,,,,,1092.0,1677.0,,,455.0,498.0,,,15.0,180.0,,,331.0,535.0,,,79.0,79.0,,,,,,,,,,,,,,,
10003,454227002.0,Chamberlain College of Nursing-Illinois,Chicago,IL,2251.0,20999.0,,,,,,,,,1092.0,1677.0,,,75.0,61.0,,,82.0,89.0,,,331.0,535.0,,,293.0,527.0,,,,,,,,,,,,,,,
10004,454227003.0,Chamberlain College of Nursing-Illinois,Tinley Park,IL,2251.0,20999.0,,,,,,,,,1092.0,1677.0,,,19.0,162.0,,,76.0,449.0,,,101.0,211.0,,,293.0,527.0,,,,,,,,,,,,,,,
10005,454236001.0,Chamberlain College of Nursing-Ohio,Columbus,OH,92.0,665.0,,,,,,,,,1092.0,1677.0,,,44.0,153.0,,,57.0,305.0,,,53.0,213.0,,,293.0,527.0,,,,,,,,,,,,,,,
10006,454236002.0,Chamberlain College of Nursing-Ohio,Cleveland,OH,92.0,665.0,,,,,,,,,1092.0,1677.0,,,27.0,119.0,,,67.0,345.0,,,85.0,287.0,,,293.0,527.0,,,,,,,,,,,,,,,
10007,454245001.0,Chamberlain College of Nursing-Arizona,Phoenix,AZ,101.0,532.0,,,,,,,,,1092.0,1677.0,,,56.0,222.0,,,13.0,187.0,,,69.0,208.0,,,4.0,158.0,,,,,,,,,,,,,,,
10008,454306001.0,Career Quest Learning Centers-Jackson,Jackson,MI,24.0,90.0,,,,,,,,,1092.0,1677.0,,,0.0,22.0,,,8.0,147.0,,,46.0,158.0,,,5.0,74.0,,,,,,,,,,,,,,,
10009,454458001.0,Bryan University,Rogers,AR,16.0,4.0,,,,,,,,,97.0,680.0,,,12.0,52.0,,,3.0,119.0,,,88.0,344.0,,,9.0,108.0,,,,,,,,,,,,,,,
1001,125727001.0,Westmont College,SANTA BARBARA,CA,508.0,789.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,30.0,59.0,6.0,0.0,928.0,1133.0,10.0,0.0,17498.0,14447.0,2.0,0.0,8785.0,11783.0,0.0,0.0,95.0,392.0,0.0,0.0,816.0,996.0,0.0,0.0,149.0,595.0,,,,,,,1.0
10010,454537001.0,The Salon Professional Academy-Appleton,Appleton,WI,4.0,47.0,,,,,,,,,323.0,41.0,,,4.0,64.0,,,90.0,132.0,,,0.0,77.0,,,6.0,118.0,,,,,,,,,,,,,,,
10011,454546001.0,Milan Institute of Cosmetology-Fairfield,Fairfield,CA,5.0,71.0,,,,,,,,,242.0,43.0,,,194.0,106.0,,,14.0,60.0,,,36.0,158.0,,,7.0,52.0,,,,,,,,,,,,,,,
10012,454555001.0,Milan Institute of Cosmetology-Reno,Reno,NV,10.0,159.0,,,,,,,,,42.0,274.0,,,18.0,59.0,,,5.0,93.0,,,66.0,32.0,,,5.0,141.0,,,,,,,,,,,,,,,
10013,454573001.0,Milan Institute of Cosmetology-Visalia,Visalia,CA,10.0,196.0,,,,,,,,,19.0,135.0,,,32.0,120.0,,,8.0,139.0,,,296.0,9.0,,,5.0,93.0,,,,,,,,,,,,,,,
10014,454607001.0,Paul Mitchell the School-Esani,Roswell,GA,13.0,235.0,,,,,,,,,104.0,236.0,,,235.0,587.0,,,5.0,50.0,,,11.0,12.0,,,139.0,406.0,,,,,,,,,,,,,,,
10015,454616001.0,Institute of Production and Recording,Minneapolis,MN,191.0,41.0,,,,,,,,,56.0,136.0,,,235.0,587.0,,,3.0,60.0,,,85.0,355.0,,,132.0,565.0,,,,,,,,,,,,,,,
10016,454625001.0,Virginia College-Greenville,Greenville,SC,32.0,257.0,,,,,,,,,36.0,109.0,,,12.0,107.0,,,8.0,109.0,,,195.0,270.0,1.0,0.0,65.0,305.0,,,,,,,,,,,,,,,
10017,454652001.0,Paul Mitchell the School-Birmingham,Hoover,AL,3.0,125.0,,,,,,,,,4.0,69.0,,,127.0,86.0,,,16.0,99.0,,,74.0,48.0,,,157.0,571.0,,,,,,,,,,,,,,,
10018,454689001.0,Taft University System,Santa Ana,CA,436.0,415.0,,,,,,,,,6.0,103.0,,,46.0,573.0,,,2.0,47.0,,,241.0,2460.0,,,11.0,112.0,,,,,,,,,,,,,,,
10019,454698001.0,Mayfield College,Cathedral City,CA,178.0,226.0,,,,,,,,,0.0,64.0,,,46.0,573.0,,,3.0,87.0,,,241.0,2460.0,,,124.0,123.0,,,,,,,,,,,,,,,
1002,125727002.0,Westmont College,San Francisco,CA,508.0,789.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,306.0,0.0,0.0,121.0,726.0,0.0,0.0,1346.0,2571.0,0.0,0.0,8785.0,11783.0,,,3801.0,4142.0,,,816.0,996.0,,,149.0,595.0,,,14.0,0.0,,,1.0
10020,454722001.0,Academy of Esthetics and Cosmetology,san fernando,CA,23.0,27.0,,,,,,,,,5.0,60.0,,,46.0,573.0,,,2.0,49.0,,,70.0,540.0,,,186.0,508.0,,,,,,,,,,,,,,,
10021,454740001.0,International Professional School of Bodywork,San Diego,CA,36.0,108.0,,,,,,,,,1.0,49.0,,,34.0,632.0,,,2.0,85.0,,,64.0,342.0,,,184.0,626.0,,,,,,,,,,,,,,,
10022,454759001.0,Borner's Barber College,Los Angeles,CA,39.0,10.0,,,,,,,,,2.0,44.0,,,65.0,38.0,,,1.0,55.0,,,13.0,78.0,,,511.0,611.0,,,,,,,,,,,,,,,
10023,454759002.0,Borner's Barber College,Long Beach,CA,39.0,10.0,,,,,,,,,4.0,78.0,,,4.0,22.0,,,12640.0,7293.0,,,37.0,198.0,,,86.0,348.0,,,,,,,,,,,,,,,
10024,454768001.0,Paul Mitchell the School-Pasadena,Alhambra,CA,9.0,150.0,,,,,,,,,5.0,71.0,,,9.0,8.0,,,558.0,539.0,,,4.0,119.0,,,420.0,245.0,,,,,,,,,,,,,,,
10025,454777001.0,San Francisco Institute of Esthetics & Cosmetology Inc,San Francisco,CA,17.0,199.0,,,,,,,,,0.0,50.0,,,184.0,24.0,,,70.0,61.0,,,8.0,89.0,,,295.0,448.0,,,,,,,,,,,,,,,
10026,454786001.0,Laurus College,San Luis Obispo,CA,433.0,508.0,,,,,,,,,64.0,257.0,,,3.0,56.0,,,17.0,170.0,,,3.0,68.0,,,101.0,605.0,,,,,,,,,,,,,,,
10027,454795001.0,Healing Hands School of Holistic Health,Escondido,CA,58.0,200.0,,,,,,,,,224.0,391.0,,,0.0,25.0,,,35.0,129.0,,,2.0,109.0,,,292.0,649.0,,,,,,,,,,,,,,,
10028,454795002.0,Healing Hands School of Holistic Health,Laguna Hills,CA,58.0,200.0,,,,,,,,,4.0,21.0,,,42.0,135.0,,,40.0,79.0,,,6.0,122.0,,,786.0,428.0,,,,,,,,,,,,,,,
10029,454801001.0,Career Development Institute Inc,Los Angeles,CA,11.0,49.0,,,,,,,,,5.0,161.0,,,42.0,135.0,,,,,,,5.0,175.0,,,269.0,205.0,,,,,,,,,,,,,,,
1003,125763001.0,Whittier College,WHITTIER,CA,935.0,1252.0,4.0,0.0,1.0,3.0,1.0,1.0,1.0,0.0,326.0,197.0,6.0,0.0,986.0,808.0,10.0,0.0,918.0,1104.0,10.0,0.0,8785.0,11783.0,,,3801.0,4142.0,,,8.0,158.0,,,,,,,1868.0,3120.0,,,
10030,454810001.0,Auguste Escoffier School of Culinary Arts-Boulder,Boulder,CO,182.0,187.0,,,,,,,,,716.0,17.0,,,7.0,186.0,,,,,,,4.0,115.0,,,42.0,101.0,,,,,,,,,,,,,,,
10031,454838001.0,Institute of Taoist Education and Acupuncture,Louisville,CO,9.0,32.0,,,,,,,,,65.0,73.0,,,3.0,19.0,,,0.0,21.0,,,5.0,110.0,,,1.0,54.0,,,,,,,,,,,,,,,
10032,454847001.0,National Beauty College,Denver,CO,9.0,31.0,,,,,,,,,11.0,82.0,,,1.0,60.0,,,11.0,73.0,,,6.0,89.0,,,32.0,184.0,,,,,,,,,,,,,,,
10033,454856001.0,Denver School of Nursing,Denver,CO,115.0,692.0,,,0.0,,0.0,,0.0,,10.0,206.0,,,0.0,72.0,,,12.0,71.0,,,70.0,187.0,,,87.0,78.0,,,,,,,,,,,,,,,
10034,454865001.0,Cambridge Institute of Allied Health & Technology,Delray Beach,FL,80.0,373.0,,,,,,,,,10.0,206.0,,,20.0,76.0,,,220.0,107.0,,,9.0,97.0,,,38.0,93.0,,,,,,,,,,,,,,,
10035,454874001.0,Cozmo Beauty School,Bonita Springs,FL,0.0,66.0,,,,,,,,,274.0,102.0,,,9.0,151.0,,,18.0,66.0,,,2.0,74.0,,,52.0,301.0,,,,,,,,,,,,,,,
10036,454883001.0,Orion College,Lauderdale Lakes,FL,14.0,322.0,,,,,,,,,23.0,41.0,,,49.0,296.0,,,36.0,128.0,,,2.0,38.0,,,62.0,245.0,,,,,,,,,,,,,,,
10037,454892001.0,North Florida Academy,Orange Park,FL,0.0,11.0,,,,,,,,,23.0,171.0,,,5.0,17.0,,,219.0,517.0,,,5.0,79.0,,,1.0,55.0,,,,,,,,,,,,,,,
10038,454908001.0,Professional Hands Institute,Miami,FL,49.0,62.0,,,,,,,,,17.0,77.0,,,61.0,0.0,,,219.0,517.0,,,3.0,91.0,,,1.0,205.0,,,,,,,,,,,,,,,
10039,454908002.0,Professional Hands Institute,Miami,FL,49.0,62.0,0.0,0.0,,,,,,,8.0,46.0,0.0,0.0,182.0,0.0,0.0,0.0,10.0,139.0,,,5.0,105.0,,,29.0,276.0,,,,,,,,,,,,,,,
1004,125763002.0,Whittier College,Costa Mesa,CA,935.0,1252.0,4.0,0.0,3.0,,1.0,,0.0,,20341.0,22112.0,9.0,0.0,2598.0,3295.0,0.0,0.0,126.0,638.0,,,5.0,68.0,1.0,0.0,3801.0,4142.0,0.0,0.0,1309.0,928.0,1.0,0.0,783.0,957.0,0.0,0.0,1868.0,3120.0,,,
10040,454917001.0,Celebrity School of Beauty,Miami,FL,28.0,160.0,,,,,,,,,8.0,19.0,,,307.0,0.0,,,117.0,104.0,,,1.0,64.0,,,42.0,141.0,,,,,,,,,,,,,,,
10041,454926001.0,Paul Mitchell the School-Atlanta,Atlanta,GA,15.0,305.0,,,,,,,,,2.0,68.0,,,87.0,68.0,,,62.0,759.0,,,2.0,71.0,,,98.0,189.0,,,,,,,,,,,,,,,
10042,454935001.0,Evans Hairstyling College-Rexburg,Rexburg,ID,0.0,66.0,,,,,,,,,13.0,90.0,,,45.0,63.0,,,62.0,759.0,,,16.0,141.0,,,29.0,175.0,,,,,,,,,,,,,,,
10043,454944001.0,Paul Mitchell the School-Rexburg,Rexburg,ID,5.0,109.0,,,,,,,,,115.0,485.0,,,9.0,203.0,,,62.0,759.0,,,15.0,285.0,,,20.0,154.0,,,,,,,,,,,,,,,
10044,454953001.0,University of Aesthetics-Chicago,Chicago,IL,0.0,27.0,,,,,,,,,43.0,107.0,,,252.0,40.0,,,38.0,481.0,,,16.0,90.0,,,16.0,358.0,,,,,,,,,,,,,,,
10045,454962001.0,The University of Aesthetics & Cosmetology,Downers Grove,IL,2.0,37.0,,,,,,,,,10.0,81.0,,,6.0,41.0,,,72.0,17.0,,,6.0,289.0,,,8.0,65.0,,,,,,,,,,,,,,,
10046,454971001.0,Tricoci University of Beauty Culture-Chicago NW,Chicago,IL,8.0,164.0,,,,,,,,,1.0,36.0,,,53.0,72.0,,,4.0,16.0,,,58.0,171.0,,,24.0,25.0,,,,,,,,,,,,,,,
10047,454980001.0,Tricoci University of Beauty Culture-Glendale Heights,Glendale Heights,IL,4.0,88.0,,,,,,,,,1.0,36.0,,,303.0,239.0,,,9.0,18.0,,,14.0,241.0,,,17.0,0.0,,,,,,,,,,,,,,,
10048,454999001.0,Tricoci University of Beauty Culture-Peoria,Peoria,IL,2.0,110.0,,,,,,,,,111.0,21.0,,,0.0,51.0,,,131.0,53.0,,,324.0,49.0,,,72.0,35.0,,,,,,,,,,,,,,,
10049,455008001.0,Tricoci University of Beauty Culture-Rockford,Rockford,IL,6.0,128.0,,,,,,,,,93.0,115.0,,,107.0,13.0,,,3.0,23.0,,,55.0,458.0,,,24.0,14.0,,,,,,,,,,,,,,,
1005,125897001.0,Woodbury University,BURBANK,CA,726.0,731.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,20341.0,22112.0,0.0,0.0,472.0,666.0,0.0,0.0,1026.0,946.0,,,6.0,247.0,0.0,0.0,3801.0,4142.0,0.0,0.0,657.0,1366.0,0.0,0.0,783.0,957.0,,,1868.0,3120.0,,,
10050,455017001.0,Frederick School of Cosmetology,Frederick,MD,0.0,15.0,0.0,0.0,0.0,,0.0,,0.0,,111.0,0.0,0.0,0.0,1.0,24.0,,,2.0,21.0,,,214.0,196.0,,,126.0,108.0,,,,,,,,,,,,,,,
10051,455026001.0,Omega Studios' School of Applied Recording Arts & Sciences,Rockville,MD,113.0,9.0,,,,,,,,,5.0,40.0,,,559.0,737.0,,,48.0,131.0,,,8.0,157.0,,,0.0,51.0,,,,,,,,,,,,,,,
10052,455035001.0,Focus-Hope Information Technologies Center,Detroit,MI,58.0,5.0,,,,,,,,,76.0,86.0,,,7.0,164.0,,,48.0,131.0,,,195.0,167.0,,,17.0,37.0,,,,,,,,,,,,,,,
10053,455053001.0,International Cosmetology Academy,Grand Rapids,MI,5.0,39.0,,,,,,,,,76.0,86.0,,,10.0,169.0,,,10.0,243.0,,,146.0,184.0,,,1.0,21.0,,,,,,,,,,,,,,,
10054,455062001.0,French Academy of Cosmetology,Spring Lake,MI,0.0,53.0,,,,,,,,,8.0,128.0,,,94.0,71.0,,,4.0,30.0,,,91.0,4.0,,,5.0,109.0,,,,,,,,,,,,,,,
10055,455071001.0,Healing Arts Center,Saint Louis,MO,20.0,79.0,,,,,,,,,53.0,204.0,,,2.0,35.0,,,0.0,49.0,,,2.0,40.0,,,1.0,33.0,,,,,,,,,,,,,,,
10056,455080001.0,Paul Mitchell the School-Springfield,Springfield,MO,7.0,105.0,,,,,,,,,53.0,204.0,,,14.0,79.0,,,4.0,20.0,,,89.0,95.0,,,11.0,68.0,,,,,,,,,,,,,,,
10057,455099001.0,Urshan Graduate School of Theology,Florissant,MO,44.0,19.0,,,,,,,,,53.0,204.0,,,3.0,22.0,,,24.0,68.0,,,59.0,172.0,,,116.0,162.0,,,,,,,,,,,,,,,
10058,455105001.0,Mississippi Institute of Aesthetics Nails & Cosmetology,Clinton,MS,2.0,86.0,,,,,,,,,53.0,204.0,,,1.0,7.0,,,6.0,112.0,,,23.0,6.0,,,8.0,38.0,,,,,,,,,,,,,,,
10059,455114001.0,College of Western Idaho,Nampa,ID,3587.0,4804.0,,,,,,,,,12.0,124.0,,,1.0,29.0,,,48.0,282.0,,,10.0,142.0,,,15.0,133.0,,,,,,,,,,,,,,,
1006,125897002.0,Woodbury University,San Diego,CA,726.0,731.0,0.0,0.0,0.0,,0.0,,0.0,,20341.0,22112.0,0.0,0.0,4137.0,1653.0,0.0,0.0,2667.0,3180.0,0.0,0.0,149.0,212.0,0.0,0.0,4962.0,4864.0,,,5.0,101.0,,,3.0,87.0,,,1868.0,3120.0,,,
10060,455114002.0,College of Western Idaho,Nampa,ID,3587.0,4804.0,,,,,,,,,4.0,71.0,,,758.0,1119.0,,,12.0,16.0,,,18.0,182.0,,,49.0,7.0,,,,,,,,,,,,,,,
10061,455114003.0,College of Western Idaho,Nampa,ID,3587.0,4804.0,,,,,,,,,35.0,25.0,,,758.0,1119.0,,,59.0,0.0,,,198.0,229.0,,,4.0,98.0,,,,,,,,,,,,,,,
10062,455114004.0,College of Western Idaho,Boise,ID,3587.0,4804.0,,,0.0,,0.0,,0.0,,75.0,37.0,0.0,0.0,207.0,692.0,0.0,0.0,145.0,0.0,0.0,0.0,52.0,158.0,,,65.0,43.0,,,,,,,,,,,,,,,
10063,455114005.0,College of Western Idaho,Boise,ID,3587.0,4804.0,,,,,,,,,75.0,134.0,,,26.0,49.0,,,248.0,0.0,,,1.0,28.0,,,2.0,20.0,,,,,,,,,,,,,,,
10064,455114008.0,College of Western Idaho,Boise,ID,3587.0,4804.0,,,,,,,,,75.0,134.0,,,17.0,240.0,,,195.0,159.0,,,75.0,99.0,,,64.0,221.0,,,,,,,,,,,,,,,
10065,455141001.0,Aveda Institute-Chapel Hill,Chapel Hill,NC,9.0,222.0,,,,,,,,,1.0,51.0,,,206.0,425.0,,,27.0,130.0,,,11.0,28.0,,,6.0,129.0,,,,,,,,,,,,,,,
10066,455169001.0,Charlotte School of Law,Charlotte,NC,326.0,605.0,,,,,,,,,1.0,68.0,,,80.0,680.0,,,68.0,275.0,,,5.0,80.0,,,5.0,157.0,,,,,,,,,,,,,,,
10067,455178001.0,Daoist Traditions College of Chinese Medical Arts,Asheville,NC,29.0,49.0,,,,,,,,,1.0,68.0,,,104.0,291.0,,,31.0,52.0,,,5.0,80.0,,,6.0,124.0,,,,,,,,,,,,,,,
10068,455187001.0,Total Image Beauty Academy,Union City,NJ,8.0,55.0,,,,,,,,,3.0,97.0,,,486.0,517.0,,,3.0,155.0,,,70.0,568.0,,,0.0,23.0,,,,,,,,,,,,,,,
10069,455196001.0,Jersey College,Teterboro,NJ,208.0,1720.0,0.0,0.0,,,,,,,255.0,157.0,,,818.0,595.0,,,103.0,85.0,,,44.0,139.0,,,5.0,59.0,,,,,,,,,,,,,,,
1007,126012001.0,The Wright Institute,Berkeley,CA,104.0,347.0,,,,,,,,,20341.0,22112.0,0.0,0.0,180.0,2.0,0.0,0.0,518.0,640.0,0.0,0.0,51.0,173.0,0.0,0.0,3779.0,7290.0,0.0,0.0,822.0,986.0,1.0,0.0,1358.0,957.0,1.0,0.0,,,,,
10070,455196002.0,Jersey College,Ewing,NJ,208.0,1720.0,,,,,,,,,0.0,63.0,,,309.0,261.0,,,4.0,39.0,,,10.0,80.0,,,1.0,18.0,,,,,,,,,,,,,,,
10071,455196003.0,Jersey College,Jacksonville,FL,208.0,1720.0,,,,,,,,,5.0,87.0,,,26.0,226.0,,,26.0,38.0,,,33.0,470.0,,,1.0,23.0,,,,,,,,,,,,,,,
10072,455196004.0,Jersey College,Tampa,FL,208.0,1720.0,0.0,0.0,0.0,,0.0,,0.0,,194.0,174.0,0.0,0.0,72.0,246.0,,,347.0,280.0,,,2.0,32.0,,,5.0,82.0,,,,,,,,,,,,,,,
10073,455196005.0,Jersey College,Fort Lauderdale,FL,208.0,1720.0,,,,,,,,,235.0,720.0,,,73.0,181.0,,,0.0,80.0,,,29.0,45.0,,,2.0,74.0,,,,,,,,,,,,,,,
10074,455202001.0,American Institute of Medical Sciences & Education,Piscataway,NJ,67.0,285.0,,,,,,,,,12.0,198.0,,,73.0,181.0,,,103.0,14.0,,,33.0,156.0,,,33.0,99.0,,,,,,,,,,,,,,,
10075,455211001.0,Casal Institute of Nevada,Las Vegas,NV,14.0,167.0,,,,,,,,,97.0,117.0,,,73.0,181.0,,,3.0,35.0,,,24.0,208.0,,,2.0,36.0,,,,,,,,,,,,,,,
10076,455220001.0,Career School of NY,Staten Island,NY,2.0,53.0,,,,,,,,,457.0,661.0,,,73.0,181.0,,,467.0,688.0,,,1.0,74.0,,,2.0,34.0,,,,,,,,,,,,,,,
10077,455239001.0,John Paolo's Xtreme Beauty Institute-Goldwell Product Artistry,Ballston Spa,NY,1.0,36.0,,,,,,,,,457.0,661.0,,,94.0,281.0,,,8.0,166.0,,,12.0,179.0,,,199.0,63.0,,,,,,,,,,,,,,,
10078,455239002.0,John Paolo's Xtreme Beauty Institute-Goldwell Product Artistry,New York Mills,NY,1.0,36.0,,,,,,,,,457.0,661.0,,,94.0,281.0,,,3.0,91.0,,,0.0,31.0,,,48.0,53.0,,,,,,,,,,,,,,,
10079,455257001.0,Yeshiva of Machzikai Hadas,Brooklyn,NY,410.0,0.0,,,,,,,,,457.0,661.0,,,41.0,446.0,,,93.0,87.0,,,0.0,10.0,,,9.0,26.0,,,,,,,,,,,,,,,
1008,126030001.0,Western State College of Law at Argosy University,Irvine,CA,152.0,187.0,16.0,0.0,,,,,,,20341.0,22112.0,10.0,0.0,15194.0,15992.0,3.0,0.0,4123.0,1598.0,0.0,0.0,423.0,512.0,0.0,0.0,261.0,423.0,0.0,0.0,102.0,532.0,0.0,0.0,7.0,0.0,0.0,0.0,4170.0,7068.0,0.0,0.0,
10080,455275001.0,Aveda Institute-Columbus,Columbus,OH,8.0,277.0,,,,,,,,,17.0,171.0,,,7.0,135.0,,,0.0,10.0,,,8.0,158.0,,,0.0,11.0,,,,,,,,,,,,,,,
10081,455284001.0,Paul Mitchell the School-Cincinnati,Cincinnati,OH,8.0,214.0,,,,,,,,,31.0,247.0,,,230.0,52.0,,,4.0,33.0,,,2.0,72.0,,,28.0,233.0,,,,,,,,,,,,,,,
10082,455327001.0,Hands on Therapy,Mesquite,TX,17.0,66.0,,,,,,,,,14.0,206.0,,,208.0,164.0,,,10.0,88.0,,,1.0,77.0,,,3.0,96.0,,,,,,,,,,,,,,,
10083,455336001.0,MediaTech Institute-Dallas,Farmers Branch,TX,149.0,26.0,,,,,,,,,36.0,255.0,,,172.0,36.0,,,6.0,45.0,,,7.0,150.0,,,92.0,9.0,,,,,,,,,,,,,,,
10084,455345001.0,PCCenter,DeSoto,TX,6.0,29.0,,,,,,,,,19.0,165.0,,,262.0,83.0,,,0.0,10.0,,,4.0,32.0,,,15.0,133.0,,,,,,,,,,,,,,,
10085,455354001.0,Aveda Institute-San Antonio,Corpus Christi,TX,12.0,224.0,,,,,,,,,64.0,142.0,,,173.0,74.0,,,0.0,21.0,,,74.0,5.0,,,9.0,78.0,,,,,,,,,,,,,,,
10086,455354002.0,Aveda Institute-San Antonio,Corpus Christi,TX,12.0,224.0,,,,,,,,,33.0,185.0,,,137.0,41.0,,,750.0,1193.0,,,27.0,5.0,,,5.0,80.0,,,,,,,,,,,,,,,
10087,455381001.0,Skin Science Institute,Salt Lake City,UT,1.0,93.0,,,,,,,,,198.0,177.0,,,231.0,220.0,,,750.0,1193.0,,,13.0,48.0,,,13.0,41.0,,,,,,,,,,,,,,,
10088,455390001.0,Global Health College,Alexandria,VA,41.0,298.0,,,,,,,,,98.0,596.0,,,1.0,44.0,,,266.0,1033.0,,,4.0,81.0,,,57.0,173.0,,,,,,,,,,,,,,,
10089,455406001.0,Pacific Northwest University of Health Sciences,Yakima,WA,255.0,240.0,0.0,0.0,,,,,,,134.0,337.0,,,251.0,244.0,,,28.0,47.0,,,19.0,75.0,,,247.0,420.0,,,,,,,,,,,,,,,
1009,126049001.0,Thomas Jefferson School of Law,SAN DIEGO,CA,326.0,374.0,,,,,,,,,20341.0,22112.0,,,1336.0,713.0,4.0,0.0,186.0,1.0,0.0,0.0,4075.0,4930.0,0.0,0.0,3.0,53.0,0.0,0.0,177.0,602.0,0.0,0.0,699.0,1430.0,0.0,0.0,207.0,291.0,,,
10090,455433001.0,The Chicago School of Professional Psychology at Irvine,Irvine,CA,55.0,241.0,,,,,,,,,56.0,459.0,,,379.0,402.0,,,21.0,261.0,,,11.0,169.0,,,22.0,66.0,,,,,,,,,,,,,,,
10091,455460001.0,Fortis College-Dothan,Dothan,AL,30.0,169.0,,,,,,,,,233.0,321.0,,,193.0,182.0,,,214.0,498.0,,,31.0,27.0,,,6.0,41.0,,,,,,,,,,,,,,,
10092,455479001.0,Fortis Institute-Pensacola,Pensacola,FL,89.0,587.0,,,,,,,,,561.0,432.0,,,218.0,221.0,,,93.0,675.0,,,1.0,66.0,,,24.0,64.0,,,,,,,,,,,,,,,
10093,455488001.0,Fortis College-Montgomery,Montgomery,AL,76.0,213.0,,,,,,,,,77.0,335.0,,,247.0,241.0,,,150.0,383.0,,,3628.0,4449.0,,,64.0,78.0,,,,,,,,,,,,,,,
10094,455512001.0,Woodland Community College,Woodland,CA,1153.0,1802.0,,,,,,,,,29.0,242.0,,,471.0,421.0,,,451.0,536.0,,,3628.0,4449.0,,,2.0,22.0,,,,,,,,,,,,,,,
10095,455549001.0,Dorsey Business Schools-Farmington Hills,Farmington Hills,MI,9.0,77.0,,,,,,,,,829.0,11690.0,,,8.0,108.0,,,0.0,19.0,,,3628.0,4449.0,,,35.0,24.0,,,,,,,,,,,,,,,
10096,455558001.0,Dorsey Business Schools-Roseville Culinary Academy,Roseville,MI,51.0,90.0,,,,,,,,,85.0,331.0,,,13.0,410.0,,,1.0,37.0,,,3628.0,4449.0,,,3.0,67.0,,,,,,,,,,,,,,,
10097,455567001.0,Vatterott College-Appling Farms,Memphis,TN,164.0,158.0,,,,,,,,,74.0,307.0,,,98.0,145.0,,,872.0,683.0,,,3628.0,4449.0,,,12.0,15.0,,,,,,,,,,,,,,,
10098,455585001.0,Minnesota School of Business-Moorhead,Moorhead,MN,17.0,80.0,,,,,,,,,80.0,71.0,,,97.0,3.0,,,381.0,273.0,,,3628.0,4449.0,,,6.0,167.0,,,,,,,,,,,,,,,
