,UNITID_P,INSTNM,City,State,men_total15,women_total15,FORCIB13,NONFOR13,RAPE14,RAPE15,FONDL14,FONDL15,STATR14,STATR15,men_total14,women_total14,FORCIB12,NONFOR12,men_total13,women_total13,FORCIB11,NONFOR11,men_total12,women_total12,FORCIB10,NONFOR10,men_total11,women_total11,FORCIB9,NONFOR9,men_total10,women_total10,FORCIB8,NONFOR8,men_total9,women_total9,FORCIB7,NONFOR7,men_total8,women_total8,FORCIB6,NONFOR6,men_total7,women_total7,FORCIB5,NONFOR5,TITLE9
600,114761001.0,Fredrick and Charles Beauty College,EUREKA,CA,4.0,55.0,,,,,,,,,84.0,333.0,0.0,0.0,1679.0,1015.0,0.0,0.0,17.0,25.0,0.0,0.0,7369.0,9149.0,1.0,0.0,450.0,323.0,0.0,0.0,808.0,222.0,,,987.0,203.0,,,148.0,241.0,,,
6000,212443001.0,Evangelical Theological Seminary,MYERSTOWN,PA,75.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,988.0,1405.0,,,17917.0,19353.0,,,882.0,956.0,,,194.0,716.0,0.0,0.0,70.0,111.0,1.0,0.0,2348.0,4408.0,1.0,0.0,15.0,113.0,,,3258.0,4573.0,,,
6001,212452001.0,Faith Theological Seminary,Baltimore,MD,98.0,52.0,,,,,,,,,988.0,1405.0,,,17917.0,19353.0,,,42.0,176.0,,,81.0,60.0,,,14.0,143.0,0.0,0.0,63.0,151.0,0.0,0.0,535.0,713.0,1.0,0.0,1950.0,3229.0,1.0,0.0,
6002,212568001.0,Aria Health School of Nursing,Trevose,PA,41.0,193.0,,,,,,,,,988.0,1405.0,,,17917.0,19353.0,0.0,0.0,17.0,136.0,0.0,0.0,1267.0,1938.0,0.0,0.0,12.0,165.0,,,78.0,222.0,,,1.0,114.0,,,,,,,
6003,212577001.0,Franklin and Marshall College,LANCASTER,PA,1082.0,1167.0,16.0,0.0,1.0,8.0,6.0,7.0,0.0,0.0,296.0,18.0,15.0,0.0,17917.0,19353.0,7.0,0.0,4257.0,4628.0,8.0,0.0,564.0,1121.0,0.0,0.0,1380.0,56.0,0.0,0.0,688.0,105.0,0.0,0.0,770.0,1459.0,0.0,0.0,1662.0,2263.0,0.0,0.0,1.0
6004,212577002.0,Franklin and Marshall College,Bath,PA,1082.0,1167.0,1.0,0.0,,,,,,,7238.0,9915.0,0.0,0.0,549.0,551.0,0.0,0.0,1986.0,1432.0,6.0,0.0,187.0,531.0,0.0,0.0,2254.0,3673.0,0.0,0.0,519.0,103.0,1.0,0.0,1659.0,2017.0,0.0,0.0,1053.0,28.0,,,1.0
6005,212601001.0,Gannon University,ERIE,PA,2040.0,2376.0,3.0,0.0,2.0,3.0,0.0,2.0,0.0,0.0,7238.0,9915.0,0.0,0.0,1170.0,2465.0,0.0,0.0,4495.0,6128.0,3.0,0.0,5.0,13.0,0.0,0.0,3003.0,3853.0,1.0,0.0,124.0,203.0,0.0,0.0,1659.0,2017.0,0.0,0.0,192.0,203.0,0.0,0.0,2.0
6006,212656001.0,Geneva College,BEAVER FALLS,PA,809.0,905.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,7238.0,9915.0,,,378.0,473.0,1.0,0.0,65.0,626.0,0.0,0.0,1707.0,604.0,0.0,0.0,123.0,89.0,0.0,0.0,298.0,330.0,0.0,0.0,432.0,168.0,,,,,,,
6007,212674001.0,Gettysburg College,GETTYSBURG,PA,1158.0,1289.0,6.0,0.0,14.0,7.0,4.0,5.0,0.0,0.0,7238.0,9915.0,,,71.0,3.0,0.0,0.0,1964.0,800.0,1.0,0.0,5992.0,6733.0,0.0,0.0,26.0,289.0,1.0,0.0,81.0,80.0,0.0,0.0,999.0,1388.0,0.0,0.0,850.0,1110.0,0.0,0.0,
6008,212753001.0,Empire Beauty School-NE Philadelphia,PHILADELPHIA,PA,8.0,123.0,10.0,0.0,9.0,,0.0,,0.0,,917.0,1106.0,1.0,0.0,242.0,9.0,,,1964.0,800.0,,,235.0,600.0,0.0,0.0,1139.0,1406.0,0.0,0.0,2468.0,3907.0,0.0,0.0,2507.0,3539.0,1.0,0.0,,,,,
